,name,job_title,industry,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,total employee estimate
1399,aldi, Warehouse Section Leader,printing,"Bolton, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1400,aldi, Deputy Manager,retail,"Bath, England, England",5,2.0,3.0,3.0,4.0,4.0,268
1401,aldi, Deputy Manager,printing,"Bath, England, England",5,2.0,3.0,3.0,4.0,4.0,7
1404,aldi, Store Assistant,retail,"Hunslet, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1405,aldi, Store Assistant,printing,"Hunslet, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1408,aldi, Store Assistant,retail,"London, England, England",3,1.0,4.0,4.0,5.0,3.0,268
1409,aldi, Store Assistant,printing,"London, England, England",3,1.0,4.0,4.0,5.0,3.0,7
1416,aldi, Deputy Manager,retail,"Manchester, England, England",3,2.0,3.0,4.0,2.0,3.0,268
1417,aldi, Deputy Manager,printing,"Manchester, England, England",3,2.0,3.0,4.0,2.0,3.0,7
1418,aldi, Store Manager,retail,"Sheffield, England, England",5,3.0,5.0,5.0,5.0,5.0,268
1419,aldi, Store Manager,printing,"Sheffield, England, England",5,3.0,5.0,5.0,5.0,5.0,7
1420,aldi, Warehouse Operative/Picker,retail,"Chelmsford, England, England",3,2.0,3.0,3.0,3.0,3.0,268
1421,aldi, Warehouse Operative/Picker,printing,"Chelmsford, England, England",3,2.0,3.0,3.0,3.0,3.0,7
1422,aldi, Shop Assistant,retail,"Sheffield, England, England",4,2.0,5.0,5.0,4.0,3.0,268
1423,aldi, Shop Assistant,printing,"Sheffield, England, England",4,2.0,5.0,5.0,4.0,3.0,7
1426,aldi, Aldi Store Manager,retail,"Perth, Scotland, Scotland",5,2.0,3.0,5.0,4.0,4.0,268
1427,aldi, Aldi Store Manager,printing,"Perth, Scotland, Scotland",5,2.0,3.0,5.0,4.0,4.0,7
1430,aldi, Hgv Driver,retail,"Tamworth, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1431,aldi, Hgv Driver,printing,"Tamworth, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1432,aldi, Deputy Store Manager,retail,"Crieff, Scotland, Scotland",5,4.0,5.0,5.0,5.0,4.0,268
1433,aldi, Deputy Store Manager,printing,"Crieff, Scotland, Scotland",5,4.0,5.0,5.0,5.0,4.0,7
1434,aldi, Senior DSM,retail,"London, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1435,aldi, Senior DSM,printing,"London, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1436,aldi, Assistant Store Manager,retail,"London, England, England",4,4.0,4.0,5.0,4.0,5.0,268
1437,aldi, Assistant Store Manager,printing,"London, England, England",4,4.0,4.0,5.0,4.0,5.0,7
1438,aldi, Assistant Manager,retail,"Winchester, England, England",2,1.0,3.0,3.0,4.0,1.0,268
1439,aldi, Assistant Manager,printing,"Winchester, England, England",2,1.0,3.0,3.0,4.0,1.0,7
1440,aldi, Store Manager,retail,"Birmingham, England, England",1,1.0,1.0,2.0,3.0,3.0,268
1441,aldi, Store Manager,printing,"Birmingham, England, England",1,1.0,1.0,2.0,3.0,3.0,7
1442,aldi, Area Manager,retail,"Neston, North West England, England, England",3,1.0,3.0,3.0,5.0,5.0,268
1443,aldi, Area Manager,printing,"Neston, North West England, England, England",3,1.0,3.0,3.0,5.0,5.0,7
1444,aldi, Deputy,retail,"Bolton, England, England",5,3.0,5.0,5.0,5.0,5.0,268
1445,aldi, Deputy,printing,"Bolton, England, England",5,3.0,5.0,5.0,5.0,5.0,7
1450,aldi, Store Assistant,retail,"Irvine, Scotland, Scotland",5,4.0,4.0,4.0,2.0,4.0,268
1451,aldi, Store Assistant,printing,"Irvine, Scotland, Scotland",5,4.0,4.0,4.0,2.0,4.0,7
1452,aldi, Store Manager,retail,"London, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1453,aldi, Store Manager,printing,"London, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1454,aldi, Store Assistant,retail,"Derby, England, England",5,4.0,5.0,5.0,5.0,5.0,268
1455,aldi, Store Assistant,printing,"Derby, England, England",5,4.0,5.0,5.0,5.0,5.0,7
1456,aldi, Aldi Manager,retail,"Nottingham, England, England",5,4.0,5.0,5.0,5.0,5.0,268
1457,aldi, Aldi Manager,printing,"Nottingham, England, England",5,4.0,5.0,5.0,5.0,5.0,7
1460,aldi, Deputy Manager,retail,"London, England, England",1,1.0,2.0,5.0,4.0,3.0,268
1461,aldi, Deputy Manager,printing,"London, England, England",1,1.0,2.0,5.0,4.0,3.0,7
1462,aldi, Store Assistant,retail,"Cardiff, Wales, Wales",1,1.0,1.0,1.0,1.0,1.0,268
1463,aldi, Store Assistant,printing,"Cardiff, Wales, Wales",1,1.0,1.0,1.0,1.0,1.0,7
1464,aldi, Store Assistant,retail,"Manchester, England, England",4,5.0,3.0,4.0,4.0,2.0,268
1465,aldi, Store Assistant,printing,"Manchester, England, England",4,5.0,3.0,4.0,4.0,2.0,7
1466,aldi, Assistant Store Manager,retail,"Birmingham, England, England",4,2.0,2.0,2.0,3.0,3.0,268
1467,aldi, Assistant Store Manager,printing,"Birmingham, England, England",4,2.0,2.0,2.0,3.0,3.0,7
1468,aldi, Deputy Manager,retail,"Derby, England, England",4,3.0,4.0,3.0,4.0,4.0,268
1469,aldi, Deputy Manager,printing,"Derby, England, England",4,3.0,4.0,3.0,4.0,4.0,7
1470,aldi, Personal Banker,retail,"Wigan, England, England",3,3.0,3.0,3.0,2.0,2.0,268
1471,aldi, Personal Banker,printing,"Wigan, England, England",3,3.0,3.0,3.0,2.0,2.0,7
1472,aldi, Store Assistant,retail,"Gateshead, England, England",4,3.0,3.0,4.0,3.0,3.0,268
1473,aldi, Store Assistant,printing,"Gateshead, England, England",4,3.0,3.0,4.0,3.0,3.0,7
1474,aldi, Area Manager,retail,"Bury, North West England, England, England",4,4.0,4.0,4.0,4.0,4.0,268
1475,aldi, Area Manager,printing,"Bury, North West England, England, England",4,4.0,4.0,4.0,4.0,4.0,7
1476,aldi, HGV DriverClass1,retail,"Bathgate, Scotland, Scotland",5,3.0,4.0,4.0,1.0,4.0,268
1477,aldi, HGV DriverClass1,printing,"Bathgate, Scotland, Scotland",5,3.0,4.0,4.0,1.0,4.0,7
1480,aldi, Store Assistant,retail,"Peterborough, England, England",4,2.0,5.0,4.0,3.0,4.0,268
1481,aldi, Store Assistant,printing,"Peterborough, England, England",4,2.0,5.0,4.0,3.0,4.0,7
1482,aldi, Customer Advisor,retail,"Manchester, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1483,aldi, Customer Advisor,printing,"Manchester, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1484,aldi, Retail Store Assistant,retail,"Milngavie, Scotland, Scotland",4,2.0,4.0,5.0,3.0,3.0,268
1485,aldi, Retail Store Assistant,printing,"Milngavie, Scotland, Scotland",4,2.0,4.0,5.0,3.0,3.0,7
1486,aldi, Store Assistant,retail,"London, England, England",1,1.0,1.0,1.0,1.0,1.0,268
1487,aldi, Store Assistant,printing,"London, England, England",1,1.0,1.0,1.0,1.0,1.0,7
1488,aldi, Retail Store Manager,retail,"Newcastle upon Tyne, England, England",2,1.0,1.0,2.0,1.0,3.0,268
1489,aldi, Retail Store Manager,printing,"Newcastle upon Tyne, England, England",2,1.0,1.0,2.0,1.0,3.0,7
1490,aldi, Assistant Manager,retail,"Cardiff, Wales, Wales",5,4.0,4.0,5.0,5.0,5.0,268
1491,aldi, Assistant Manager,printing,"Cardiff, Wales, Wales",5,4.0,4.0,5.0,5.0,5.0,7
1492,aldi, Deputy Manager,retail,"Maidstone, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1493,aldi, Deputy Manager,printing,"Maidstone, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1494,aldi, Store Assistant,retail,"Dagenham, England, England",5,5.0,4.0,3.0,5.0,4.0,268
1495,aldi, Store Assistant,printing,"Dagenham, England, England",5,5.0,4.0,3.0,5.0,4.0,7
1496,aldi, Store Manager,retail,"Blackpool, England, England",3,1.0,3.0,4.0,3.0,4.0,268
1497,aldi, Store Manager,printing,"Blackpool, England, England",3,1.0,3.0,4.0,3.0,4.0,7
1498,aldi, Buying Assistant,retail,"Coventry, England, England",4,5.0,4.0,4.0,2.0,5.0,268
1499,aldi, Buying Assistant,printing,"Coventry, England, England",4,5.0,4.0,4.0,2.0,5.0,7
1500,aldi, Customer Assistant,retail,"Bedford, England, England",4,3.0,4.0,2.0,3.0,4.0,268
1501,aldi, Customer Assistant,printing,"Bedford, England, England",4,3.0,4.0,2.0,3.0,4.0,7
1504,aldi, Deputy Store Manager,retail,"Gillingham, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1505,aldi, Deputy Store Manager,printing,"Gillingham, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1506,aldi, Manager,retail,"Leeds, England, England",1,1.0,1.0,1.0,3.0,5.0,268
1507,aldi, Manager,printing,"Leeds, England, England",1,1.0,1.0,1.0,3.0,5.0,7
1508,aldi, Store Assistant,retail,"Nottingham, England, England",5,2.0,5.0,5.0,3.0,3.0,268
1509,aldi, Store Assistant,printing,"Nottingham, England, England",5,2.0,5.0,5.0,3.0,3.0,7
1512,aldi, Night Selector,retail,"Neston, South West England, England, England",1,3.0,3.0,3.0,1.0,3.0,268
1513,aldi, Night Selector,printing,"Neston, South West England, England, England",1,3.0,3.0,3.0,1.0,3.0,7
1514,aldi, Store Manager,retail,"Newquay, England, England",5,2.0,3.0,1.0,1.0,3.0,268
1515,aldi, Store Manager,printing,"Newquay, England, England",5,2.0,3.0,1.0,1.0,3.0,7
1516,aldi, Aldi Store Assistant,retail,"Nottingham, England, England",4,2.0,3.0,3.0,4.0,3.0,268
1517,aldi, Aldi Store Assistant,printing,"Nottingham, England, England",4,2.0,3.0,3.0,4.0,3.0,7
1520,aldi, Store Manager,retail,"Newcastle upon Tyne, England, England",1,1.0,1.0,2.0,4.0,1.0,268
1521,aldi, Store Manager,printing,"Newcastle upon Tyne, England, England",1,1.0,1.0,2.0,4.0,1.0,7
1522,aldi, Store Assistant,retail,"York, England, England",5,5.0,5.0,5.0,5.0,5.0,268
1523,aldi, Store Assistant,printing,"York, England, England",5,5.0,5.0,5.0,5.0,5.0,7
1524,aldi, Store Assistant,retail,"Polmont, Scotland, Scotland",4,1.0,4.0,4.0,3.0,5.0,268
1525,aldi, Store Assistant,printing,"Polmont, Scotland, Scotland",4,1.0,4.0,4.0,3.0,5.0,7
1526,aldi, Store Assistant,retail,"Stoke-on-Trent, England, England",4,2.0,5.0,3.0,4.0,5.0,268
1527,aldi, Store Assistant,printing,"Stoke-on-Trent, England, England",4,2.0,5.0,3.0,4.0,5.0,7
